name,3FAvg,TmSd,OppSdAvg,NxtGmeFPTS,
Draymond Green, 36.0, 7, 4.666666666666667, 22.0,
Draymond Green, 21.0, 7, 8.0, -8.0,
Draymond Green, 9.5, 7, 4.0, 24.0,
Draymond Green, 40.5, 7, 8.333333333333334, 24.0,
Draymond Green, 26.5, 7, 9.0, 24.0,
Draymond Green, 25.0, 7, 7.0, 21.0,
Draymond Green, 21.0, 7, 7.666666666666667, 0.0,
Draymond Green, 0.0, 7, 7.0, 0.0,
Draymond Green, 0, 7, 9.0, 0.0,
Draymond Green, 0, 7, 8.333333333333334, 3.0,
Draymond Green, 21.0, 7, 8.0, 27.0,
Draymond Green, 35.0, 7, 7.0, 37.0,
Draymond Green, 34.666666666666664, 7, 11.333333333333334, 27.0,
Stephen Curry, 34.666666666666664, 7, 10.666666666666666, 0.0,
Stephen Curry, 0, 7, 10.0, 0.0,
Stephen Curry, 46.0, 7, 6.0, 9.0,
Stephen Curry, 39.333333333333336, 7, 6.333333333333333, 30.0,
Stephen Curry, 41.0, 7, 9.0, 37.0,
Stephen Curry, 32.333333333333336, 7, 8.666666666666666, 0.0,
Stephen Curry, 27.0, 7, 5.666666666666667, 14.0,
Stephen Curry, 25.5, 7, 4.666666666666667, 32.0,
Stephen Curry, 41.333333333333336, 7, 8.0, 4.0,
Stephen Curry, 27.0, 7, 4.0, 23.0,
Stephen Curry, 33.0, 7, 8.333333333333334, 18.0,
Stephen Curry, 39.0, 7, 9.0, 0.0,
Stephen Curry, 34.0, 7, 7.0, 35.0,
Stephen Curry, 32.5, 7, 7.666666666666667, 28.0,
Stephen Curry, 37.333333333333336, 7, 7.0, 13.0,
Stephen Curry, 26.666666666666668, 7, 9.0, 0.0,
Stephen Curry, 24.5, 7, 8.333333333333334, 3.0,
Stephen Curry, 26.5, 7, 8.0, 27.0,
Stephen Curry, 40.0, 7, 7.0, 35.0,
Stephen Curry, 34.0, 7, 11.333333333333334, 25.0,
Buddy Hield, 28.666666666666668, 7, 10.666666666666666, 28.0,
Buddy Hield, 33.5, 7, 10.0, 31.0,
Buddy Hield, 34.333333333333336, 7, 6.0, 3.0,
Buddy Hield, 11.666666666666666, 7, 6.333333333333333, 12.0,
Buddy Hield, 9.0, 7, 9.0, 13.0,
Buddy Hield, 14.0, 7, 8.666666666666666, 13.0,
Buddy Hield, 19.0, 7, 5.666666666666667, 7.0,
Buddy Hield, 4.0, 7, 4.666666666666667, 26.0,
Buddy Hield, 27.333333333333332, 7, 8.0, 18.0,
Buddy Hield, 15.333333333333334, 7, 4.0, 4.0,
Buddy Hield, 3.3333333333333335, 7, 8.333333333333334, -4.0,
Buddy Hield, -0.5, 7, 9.0, 7.0,
Buddy Hield, 17.0, 7, 7.0, 31.0,
Buddy Hield, 24.666666666666668, 7, 7.666666666666667, 33.0,
Buddy Hield, 16.0, 7, 7.0, 31.0,
Buddy Hield, 15.666666666666666, 7, 9.0, 5.0,
Buddy Hield, 15.0, 7, 8.333333333333334, 3.0,
Buddy Hield, 14.5, 7, 8.0, 21.0,
Buddy Hield, 23.666666666666668, 7, 7.0, -1.0,
Buddy Hield, 13.666666666666666, 7, 11.333333333333334, 11.0,
